Date,Time,Weight (kg),Height (cm),BMI
30/06/2014,15:29,61.8,171,21.13470812
14/07/2014,07:41,61.8,172,20.88967009
04/08/2014,08:10,61.1,172,20.65305571
04/08/2014,16:07,61,171,20.86111966
14/08/2014,15:38,61.7,171,21.10050956
15/08/2014,08:28,61.4,172,20.75446187
21/08/2014,13:54,61.7,171,21.10050956
05/09/2014,12:37,62.5,171,21.37409801
10/09/2014,11:46,61.8,171,21.13470812
16/09/2014,10:29,60.7,172,20.51784749
01/10/2014,10:48,61.4,172,20.75446187
01/11/2014,08:34,63.4,172,21.43050297
11/11/2014,10:20,62.9,170,21.76470588
12/12/2014,10:18,64.7,171,22.12646626
13/01/2015,10:19,64.2,171,21.95547348
27/01/2015,13:00,63.9,171,21.85287781
20/02/2015,14:43,63.3,171,21.64768647
02/03/2015,13:06,63.2,172,21.36289886
22/03/2015,09:45,63.5,172,21.46430503
30/03/2015,09:43,63.5,171,21.71608358
20/04/2015,16:23,63.5,171,21.71608358
27/05/2015,13:30,62.5,172,21.12628448
14/06/2015,08:28,63,172,21.29529475
29/06/2015,14:12,63.6,171,21.75028214
03/08/2015,12:12,62.7,172,21.19388859
26/08/2015,08:52,62.7,171,21.44249513
28/09/2015,17:04,62.4,172,21.09248242
08/10/2015,14:38,63.1,171,21.57928935
09/10/2015,08:55,63,172,21.29529475
15/10/2015,10:18,62.5,172,21.12628448
26/10/2015,18:28,62.6,171,21.40829657
09/11/2015,10:04,62.7,172,21.19388859
30/11/2015,18:03,63.6,172,21.49810708
23/12/2015,12:29,63.4,172,21.43050297
30/12/2015,11:59,63.5,172,21.46430503
11/01/2016,09:25,62.9,172,21.2614927
